Date,Description,Amount
2025-04-17,Bookstore,75.19
2025-04-16,Uber,169.45
2025-04-11,Cash App,210.68
2025-04-09,Netflix,209.7
2025-04-08,Transport fee,244.65
2025-04-02,Venmo,191.13
2025-04-01,Fast food,217.4
2025-03-28,Dinner out,15.07
2025-03-21,Electric Bill,153.19
2025-03-20,Transfer,28.06
2025-03-20,Lyft,52.62
2025-03-18,Dinner out,211.16
2025-03-18,Recurring charge,196.05
2025-03-16,Venmo,143.16
2025-03-14,Transfer to Savings,231.58
2025-03-14,Lyft,40.05
2025-03-11,Electric Bill,44.13
2025-03-09,YouTube Premium,19.21
2025-03-09,Unknown debit,217.45
2025-03-09,Starbucks,145.96
2025-03-05,Local Deli,97.12
2025-03-03,Electric Bill,79.39
2025-03-02,Cafe,41.67
2025-02-26,Local Deli,32.66
2025-02-24,Venmo,51.39
2025-02-22,Spotify,23.85
2025-02-21,Phone Bill,64.07
2025-02-18,Gas Station,213.34
2025-02-15,Local Deli,69.36
2025-02-12,Cafe,243.86
2025-02-11,HBO Max,129.46
2025-02-09,Venmo,181.92
2025-02-09,Uber Eats,159.96
2025-02-06,Recurring charge,22.17
2025-02-01,Bill payment,11.8
2025-01-31,Metro Card,66.85
2025-01-30,Pet Store,242.79
2025-01-29,Gift Shop,158.31
2025-01-25,McDonald's,141.69
2025-01-18,Local Deli,125.39
2025-01-17,Starbucks,17.78
2025-01-14,Charity Donation,97.55
2025-01-08,Transfer to Savings,31.23
2025-01-07,Transfer,74.24
2025-01-06,Ride,107.83
2025-01-06,Water Bill,182.38
2025-01-03,Cafe,86.69
2024-12-22,Unknown debit,174.97
2024-12-21,Starbucks,63.95
2024-12-20,Bookstore,110.74
2024-12-19,Charity Donation,240.92
2024-12-17,Bill payment,106.4
2024-12-17,Gift Shop,201.57
2024-12-13,Metro Card,56.45
2024-12-12,Spotify,238.31
2024-12-10,Uber,29.28
2024-12-09,PayPal Transfer,139.02
2024-12-09,Bill payment,235.7
2024-12-05,Cash App,140.48
2024-12-04,Uber Eats,64.71
2024-11-28,Cash App,215.23
2024-11-27,Unknown debit,139.65
2024-11-19,Internet Bill,108.09
2024-11-10,McDonald's,27.19
2024-11-06,Cash App,166.97
2024-11-05,Gift Shop,155.83
2024-11-03,McDonald's,84.55
2024-11-03,Lyft,144.26
2024-10-27,Domino's,247.19
2024-10-25,Fast food,44.13
2024-10-25,Unknown debit,5.14
2024-10-25,Bookstore,186.36
2024-10-24,YouTube Premium,110.27
2024-10-23,Cafe,117.84
2024-10-22,Fast food,92.23
